Parcela;Obs_parcela;N;Nome_comum;DAP;Altura;Altura_medida_estimada;Morta;Tipo;Ano;;;;;;;;;;;
TNS_001a006;NA;142;RIPEIRO VERMELHO;23,0;18,8;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;143;SERINGA VERMELHA;47,4;28,5;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;144;CAROBA;NA;NA;EST;M;NA;2015;;;;;;;;;;;
TNS_001a006;NA;145;SERINGARANA;18,4;16,2;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;146;GITO VERMELHO;14,4;13,8;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;147;MATAMATA AMARELO;13,8;13,4;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;148;CORACAO DE NEGRO;26,4;20,5;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;149;SERINGA VERMELHA;22,0;18,3;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;149A;TACHI VERMELHO;20,4;17,4;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;149I;EMBAUBARANA;10,5;11,0;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;150;BREU VERMELHO;16,2;14,9;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;151;SERINGARANA;17,4;15,7;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;152;MATAMATA AMARELO;19,3;16,8;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;153;CASTANHA JARANA FG;23,4;19,0;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;154;ABIURANA FEDORENTA;25,2;19,9;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;155;UXI AMARELO;52,4;30,0;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;156;CARAIPE;11,0;11,4;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;156E;INGA CAULIFLORA;10,9;11,3;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;157;BREU MANGA;20,7;17,6;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;157F;GITÓ VERMELHO;17,4;15,7;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;157G;AMBELANIA ACIDA;11,1;11,5;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;158;GITO VERMELHO;13,8;13,4;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;159;ABIURANA BACURI;25,5;20,0;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;160;GITO BRANCO;19,3;16,8;EST;NA;NA;2015;;;;;;;;;;;
TNS_007a012;NA;161;ACARIQUARA ROXA;24,8;19,7;EST;NA;NA;2015;;;;;;;;;;;
TNS_007a012;NA;162;MATAMATA AMARELO;12,0;12,1;EST;NA;NA;2015;;;;;;;;;;;
TNS_007a012;NA;163;MATAMATA AMARELO;25,2;19,9;EST;NA;NA;2015;;;;;;;;;;;
TNS_007a012;NA;164;BUCHUCHU CANELA DE VELHO;25,7;20,1;EST;NA;NA;2015;;;;;;;;;;;
TNS_007a012;NA;165;SERINGARANA;NA;NA;EST;M;NA;2015;;;;;;;;;;;
TNS_007a012;NA;166;BREU BRANCO;22,7;18,6;EST;NA;NA;2015;;;;;;;;;;;
TNS_007a012;NA;167;CUMARU ROXO;73,2;34,8;EST;NA;NA;2015;;;;;;;;;;;
TNS_007a012;NA;168;MACUCU CHIADOR;17,4;15,7;EST;NA;NA;2015;;;;;;;;;;;
TNS_007a012;NA;169;CASTANHA JARANA FG;34,9;24,2;EST;NA;NA;2015;;;;;;;;;;;
TNS_007a012;NA;170;ABIURANA ;24,9;19,8;EST;NA;NA;2015;;;;;;;;;;;
TNS_007a012;NA;170D;JITÓ VERMELHO;11,0;11,4;EST;NA;NA;2015;;;;;;;;;;;
TNS_007a012;NA;171;UXI MORCEGO;22,4;18,5;EST;NA;NA;2015;;;;;;;;;;;
TNS_007a012;NA;172;UCUUBA VERMELHA;NA;NA;EST;M;NA;2015;;;;;;;;;;;
TNS_007a012;NA;173;ABIURANA;27,2;20,9;EST;NA;NA;2015;;;;;;;;;;;
TNS_007a012;NA;174;ARACA BRAVO;NA;NA;EST;M;NA;2015;;;;;;;;;;;
TNS_007a012;NA;175;ACARIQUARA ROXA;50,9;29,5;EST;NA;NA;2015;;;;;;;;;;;
TNS_007a012;NA;176;QUARUBA VERMELHA;26,0;20,3;EST;NA;NA;2015;;;;;;;;;;;
TNS_007a012;NA;177;LOURO FOFO;15,4;14,4;EST;NA;NA;2015;;;;;;;;;;;
TNS_007a012;NA;178;SUCUPIRA CHORONA;32,0;23,0;EST;NA;NA;2015;;;;;;;;;;;
TNS_007a012;NA;179;ACHICHA;NA;NA;EST;M;NA;2015;;;;;;;;;;;
TNS_007a012;NA;180;ARACA BRAVO;15,0;14,1;EST;NA;NA;2015;;;;;;;;;;;
TNS_007a012;NA;181;BREU VERMELHO;24,0;19,3;EST;NA;NA;2015;;;;;;;;;;;
TNS_007a012;NA;182;BREU VERMELHO;28,6;21,5;EST;NA;NA;2015;;;;;;;;;;;
TNS_007a012;NA;183;CARAIPE;NA;NA;EST;M;NA;2015;;;;;;;;;;;
TNS_007a012;NA;184;ENVIRA SURUCUCU;23,7;19,1;EST;NA;NA;2015;;;;;;;;;;;
TNS_007a012;NA;185;PIÃOZINHO;28,7;21,5;EST;NA;NA;2015;;;;;;;;;;;
TNS_007a012;NA;186;FALSA CUPIUBA;23,8;19,2;EST;NA;NA;2015;;;;;;;;;;;
TNS_007a012;NA;187;ENVIRA PRETA;14,4;13,8;EST;NA;NA;2015;;;;;;;;;;;
TNS_007a012;NA;188;PIÃOZINHO;NA;NA;EST;M;NA;2015;;;;;;;;;;;
TNS_007a012;NA;189;URUCURANA;46,5;28,2;EST;NA;NA;2015;;;;;;;;;;;
TNS_007a012;NA;190;GITO BRANCO;NA;NA;EST;M;NA;2015;;;;;;;;;;;
TNS_007a012;NA;191;ABIURANA FEDORENTA;14,6;13,9;EST;NA;NA;2015;;;;;;;;;;;
TNS_007a012;NA;192;CARAIPE;NA;NA;EST;M;NA;2015;;;;;;;;;;;
TNS_007a012;NA;193;ABIURANA CASCA FINA;30,0;22,1;EST;NA;NA;2015;;;;;;;;;;;
TNS_007a012;NA;194;ACARIQUARA ROXA;20,5;17,4;EST;NA;NA;2015;;;;;;;;;;;
TNS_007a012;NA;195;MATAMATA AMARELO;19,5;16,9;EST;NA;NA;2015;;;;;;;;;;;
TNS_007a012;NA;196;CASTANHA VERMELHA;24,5;19,6;EST;NA;NA;2015;;;;;;;;;;;
TNS_007a012;NA;197;ARABA ROXO;20,2;17,3;EST;NA;NA;2015;;;;;;;;;;;
TNS_007a012;NA;198;PIÃOZINHO;15,6;14,5;EST;NA;NA;2015;;;;;;;;;;;
TNS_007a012;NA;199;PAU RAINHA;17,0;15,4;EST;NA;NA;2015;;;;;;;;;;;
TNS_007a012;NA;199A;BREU VERMELHO;13,8;13,4;EST;NA;NA;2015;;;;;;;;;;;
TNS_007a012;NA;200;ARACA BRAVO;16,0;14,8;EST;NA;NA;2015;;;;;;;;;;;
TNS_007a012;NA;200F;ARABÁ ROXO;11,0;11,4;EST;NA;NA;2015;;;;;;;;;;;
TNS_007a012;NA;201;FALSA RAINHA;40,3;26,2;EST;NA;NA;2015;;;;;;;;;;;
TNS_007a012;NA;202;RIPEIRO VERMELHO;18,0;16,0;EST;NA;NA;2015;;;;;;;;;;;
