_id;common_name;family;genus;species;suggestion
"parkia spp;fabaceae;parkia;fava parkia";fava parkia;fabaceae;parkia;parkia spp;
"parkia spp;fabaceae;parkia;faveira bengue";faveira bengue;fabaceae;parkia;parkia spp;
"pausandra macropetala;euphorbiaceae;pausandra;pau sandra";pau sandra;euphorbiaceae;pausandra;pausandra macropetala;pausandra trianae
"poecilanthe amazonica;fabaceae;poecilanthe;falsa cupiuba";falsa cupiuba;fabaceae;poecilanthe;poecilanthe amazonica;lecointea amazonica
"poecilanthe amazonica;fabaceae;poecilanthe;pe burro";pe burro;fabaceae;poecilanthe;poecilanthe amazonica;lecointea amazonica
"pourouma ovata;urticaceae;pourouma;embaubarana";embaubarana;urticaceae;pourouma;pourouma ovata;pourouma apiculata
"pourouma spp;urticaceae;pourouma;embauba bengue";embauba bengue;urticaceae;pourouma;pourouma spp;pourouma mollis
"pourouma spp;urticaceae;pourouma;embaubarana";embaubarana;urticaceae;pourouma;pourouma spp;pourouma mollis
"pourouma velutina;urticaceae;pourouma;embauba bengue";embauba bengue;urticaceae;pourouma;pourouma velutina;crudia velutina
"pourouma velutina;urticaceae;pourouma;embaubarana";embaubarana;urticaceae;pourouma;pourouma velutina;crudia velutina
"pouteria cf durlandii;sapotaceae;pouteria;abiurana casca fina";abiurana casca fina;sapotaceae;pouteria;pouteria cf durlandii;pouteria durlandii
"pouteria cf engleri;sapotaceae;pouteria;abiurana olho veado";abiurana olho veado;sapotaceae;pouteria;pouteria cf engleri;pouteria engleri
"pouteria cf macrophylla;sapotaceae;pouteria;cajui";cajui;sapotaceae;pouteria;pouteria cf macrophylla;pouteria macrophylla
